NUTS II;CONCELHO;;;;;;;
ALENTEJO;Almodôvar;;;;;;;
ALENTEJO;Alvito;;;;;;;
ALENTEJO;Alvito;;;;;;;
ALENTEJO;Barrancos;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Beja;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Castro Verde;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Cuba;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Ferreira do Alentejo;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Mértola;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Moura;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Odemira;;;;;;;
ALENTEJO;Ourique;;;;;;;
ALENTEJO;Ourique;;;;;;;
ALENTEJO;Ourique;;;;;;;
ALENTEJO;Ourique;;;;;;;
ALENTEJO;Serpa;;;;;;;
ALENTEJO;Serpa;;;;;;;
ALENTEJO;Serpa;;;;;;;
ALENTEJO;Serpa;;;;;;;
ALENTEJO;Serpa;;;;;;;
ALENTEJO;Vidigueira;;;;;;;
ALENTEJO;Vidigueira;;;;;;;
ALENTEJO;Vidigueira;;;;;;;
ALENTEJO;Vidigueira;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Amares;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Barcelos;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Braga;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Cabeceiras de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Celorico de Basto;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Esposende;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Fafe;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Guimarães;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Póvoa de Lanhoso;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Terras de Bouro;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vieira do Minho;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Nova de Famalicão;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vila Verde;;;;;;;
NORTE;Vizela;;;;;;;
NORTE;Vizela;;;;;;;
NORTE;Vizela;;;;;;;
NORTE;Vizela;;;;;;;
NORTE;Vizela;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Alfândega da Fé;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Bragança;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Carrazeda de Ansiães;;;;;;;
NORTE;Freixo de Espada à Cinta;;;;;;;
NORTE;Freixo de Espada à Cinta;;;;;;;
NORTE;Freixo de Espada à Cinta;;;;;;;
NORTE;Freixo de Espada à Cinta;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Macedo de Cavaleiros;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Miranda do Douro;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
NORTE;Mirandela;;;;;;;
